beh_ao_lmr_num,year,rank,beh_ao_lmr_str
Kiel,2007,53,Kiel
Kiel,2011,46,Kiel
Kiel,2015,42,Kiel
Kiel,2019,42,Kiel
Lübeck,2007,63,Lübeck
Lübeck,2011,68,Lübeck
Lübeck,2015,60,Lübeck
Lübeck,2019,48,Lübeck
Dithmarschen,2007,136,Dithmarschen
Dithmarschen,2011,131,Dithmarschen
Dithmarschen,2015,132,Dithmarschen
Dithmarschen,2019,115,Dithmarschen
Flensburg,2007,95,Flensburg
Flensburg,2011,71,Flensburg
Flensburg,2015,65,Flensburg
Flensburg,2019,66,Flensburg
Hamburg,2007,2,Hamburg
Hamburg,2011,1,Hamburg
Hamburg,2015,1,Hamburg
Hamburg,2019,2,Hamburg
Braunschweig,2007,48,Braunschweig
Braunschweig,2011,62,Braunschweig
Braunschweig,2015,50,Braunschweig
Braunschweig,2019,39,Braunschweig
Wolfsburg,2007,50,Wolfsburg
Wolfsburg,2011,58,Wolfsburg
Wolfsburg,2015,61,Wolfsburg
Wolfsburg,2019,67,Wolfsburg
Göttingen,2007,83,Göttingen
Göttingen,2011,84,Göttingen
Göttingen,2015,83,Göttingen
Göttingen,2019,90,Göttingen
Goslar,2007,93,Goslar
Goslar,2011,112,Goslar
Goslar,2015,121,Goslar
Goslar,2019,120,Goslar
Hannover,2007,14,Hannover
Hannover,2011,13,Hannover
Hannover,2015,12,Hannover
Hannover,2019,9,Hannover
Hameln,2007,125,Hameln
Hameln,2011,129,Hameln
Hameln,2015,127,Hameln
Hameln,2019,129,Hameln
Celle,2007,130,Celle
Celle,2011,136,Celle
Celle,2015,124,Celle
Celle,2019,122,Celle
Lüchow-Dannenberg,2007,128,Lüchow-Dannenberg
Lüchow-Dannenberg,2011,128,Lüchow-Dannenberg
Lüchow-Dannenberg,2015,137,Lüchow-Dannenberg
Lüchow-Dannenberg,2019,136,Lüchow-Dannenberg
Stade,2007,118,Stade
Stade,2011,118,Stade
Stade,2015,109,Stade
Stade,2019,97,Stade
Uelzen,2007,139,Uelzen
Uelzen,2011,140,Uelzen
Uelzen,2015,140,Uelzen
Uelzen,2019,131,Uelzen
Emden,2007,102,Emden
Emden,2011,101,Emden
Emden,2015,106,Emden
Emden,2019,89,Emden
Oldenburg,2007,59,Oldenburg
Oldenburg,2011,43,Oldenburg
Oldenburg,2015,31,Oldenburg
Oldenburg,2019,32,Oldenburg
Osnabrück,2007,70,Osnabrück
Osnabrück,2011,69,Osnabrück
Osnabrück,2015,56,Osnabrück
Osnabrück,2019,59,Osnabrück
Emsland,2007,92,Emsland
Emsland,2011,60,Emsland
Emsland,2015,75,Emsland
Emsland,2019,76,Emsland
Wilhelmshaven,2007,119,Wilhelmshaven
Wilhelmshaven,2011,115,Wilhelmshaven
Wilhelmshaven,2015,110,Wilhelmshaven
Wilhelmshaven,2019,111,Wilhelmshaven
Vechta,2007,104,Vechta
Vechta,2011,85,Vechta
Vechta,2015,71,Vechta
Vechta,2019,65,Vechta
Bremen,2007,37,Bremen
Bremen,2011,34,Bremen
Bremen,2015,21,Bremen
Bremen,2019,18,Bremen
Bremerhaven,2007,122,Bremerhaven
Bremerhaven,2011,122,Bremerhaven
Bremerhaven,2015,114,Bremerhaven
Bremerhaven,2019,104,Bremerhaven
Düsseldorf,2007,5,Düsseldorf
Düsseldorf,2011,5,Düsseldorf
Düsseldorf,2015,5,Düsseldorf
Düsseldorf,2019,5,Düsseldorf
Essen,2007,16,Essen
Essen,2011,25,Essen
Essen,2015,37,Essen
Essen,2019,43,Essen
Wuppertal,2007,80,Wuppertal
Wuppertal,2011,94,Wuppertal
Wuppertal,2015,102,Wuppertal
Wuppertal,2019,103,Wuppertal
Kleve,2007,105,Kleve
Kleve,2011,107,Kleve
Kleve,2015,91,Kleve
Kleve,2019,99,Kleve
Bonn,2007,26,Bonn
Bonn,2011,32,Bonn
Bonn,2015,29,Bonn
Bonn,2019,29,Bonn
Köln,2007,6,Köln
Köln,2011,6,Köln
Köln,2015,6,Köln
Köln,2019,6,Köln
Aachen,2007,41,Aachen
Aachen,2011,38,Aachen
Aachen,2015,35,Aachen
Aachen,2019,53,Aachen
Olpe,2007,100,Olpe
Olpe,2011,100,Olpe
Olpe,2015,104,Olpe
Olpe,2019,96,Olpe
Münster,2007,10,Münster
Münster,2011,12,Münster
Münster,2015,8,Münster
Münster,2019,8,Münster
Borken,2007,85,Borken
Borken,2011,81,Borken
Borken,2015,63,Borken
Borken,2019,64,Borken
Bielefeld,2007,36,Bielefeld
Bielefeld,2011,35,Bielefeld
Bielefeld,2015,39,Bielefeld
Bielefeld,2019,36,Bielefeld
Höxter,2007,133,Höxter
Höxter,2011,138,Höxter
Höxter,2015,133,Höxter
Höxter,2019,137,Höxter
Minden,2007,78,Minden
Minden,2011,75,Minden
Minden,2015,84,Minden
Minden,2019,78,Minden
Bochum,2007,51,Bochum
Bochum,2011,64,Bochum
Bochum,2015,77,Bochum
Bochum,2019,83,Bochum
Dortmund,2007,27,Dortmund
Dortmund,2011,36,Dortmund
Dortmund,2015,41,Dortmund
Dortmund,2019,49,Dortmund
Hagen,2007,45,Hagen
Hagen,2011,57,Hagen
Hagen,2015,76,Hagen
Hagen,2019,85,Hagen
Siegen,2007,108,Siegen
Siegen,2011,110,Siegen
Siegen,2015,97,Siegen
Siegen,2019,100,Siegen
Soest,2007,47,Soest
Soest,2011,50,Soest
Soest,2015,34,Soest
Soest,2019,41,Soest
Darmstadt,2007,40,Darmstadt
Darmstadt,2011,44,Darmstadt
Darmstadt,2015,53,Darmstadt
Darmstadt,2019,57,Darmstadt
Frankfurt am Main,2007,3,Frankfurt am Main
Frankfurt am Main,2011,3,Frankfurt am Main
Frankfurt am Main,2015,4,Frankfurt am Main
Frankfurt am Main,2019,4,Frankfurt am Main
Gießen,2007,60,Gießen
Gießen,2011,56,Gießen
Gießen,2015,54,Gießen
Gießen,2019,54,Gießen
Limburg-Weilburg,2007,101,Limburg-Weilburg
Limburg-Weilburg,2011,108,Limburg-Weilburg
Limburg-Weilburg,2015,111,Limburg-Weilburg
Limburg-Weilburg,2019,105,Limburg-Weilburg
Kassel,2007,61,Kassel
Kassel,2011,61,Kassel
Kassel,2015,49,Kassel
Kassel,2019,46,Kassel
Fulda,2007,57,Fulda
Fulda,2011,51,Fulda
Fulda,2015,44,Fulda
Fulda,2019,35,Fulda
Waldeck-Frankenberg,2007,129,Waldeck-Frankenberg
Waldeck-Frankenberg,2011,132,Waldeck-Frankenberg
Waldeck-Frankenberg,2015,128,Waldeck-Frankenberg
Waldeck-Frankenberg,2019,125,Waldeck-Frankenberg
Koblenz,2007,39,Koblenz
Koblenz,2011,42,Koblenz
Koblenz,2015,38,Koblenz
Koblenz,2019,33,Koblenz
Altenkirchen,2007,138,Altenkirchen
Altenkirchen,2011,139,Altenkirchen
Altenkirchen,2015,139,Altenkirchen
Altenkirchen,2019,133,Altenkirchen
Bad Kreuznach,2007,109,Bad Kreuznach
Bad Kreuznach,2011,98,Bad Kreuznach
Bad Kreuznach,2015,98,Bad Kreuznach
Bad Kreuznach,2019,92,Bad Kreuznach
Bitburg,2007,132,Bitburg
Bitburg,2011,126,Bitburg
Bitburg,2015,131,Bitburg
Bitburg,2019,135,Bitburg
Vulkaneifel,2007,141,Vulkaneifel
Vulkaneifel,2011,141,Vulkaneifel
Vulkaneifel,2015,136,Vulkaneifel
Vulkaneifel,2019,139,Vulkaneifel
Trier,2007,54,Trier
Trier,2011,41,Trier
Trier,2015,52,Trier
Trier,2019,58,Trier
Kaiserslautern,2007,97,Kaiserslautern
Kaiserslautern,2011,91,Kaiserslautern
Kaiserslautern,2015,88,Kaiserslautern
Kaiserslautern,2019,95,Kaiserslautern
Landau,2007,96,Landau
Landau,2011,96,Landau
Landau,2015,81,Landau
Landau,2019,71,Landau
Ludwigshafen,2007,29,Ludwigshafen
Ludwigshafen,2011,37,Ludwigshafen
Ludwigshafen,2015,40,Ludwigshafen
Ludwigshafen,2019,38,Ludwigshafen
Mainz,2007,13,Mainz
Mainz,2011,14,Mainz
Mainz,2015,13,Mainz
Mainz,2019,20,Mainz
Stuttgart,2007,7,Stuttgart
Stuttgart,2011,7,Stuttgart
Stuttgart,2015,7,Stuttgart
Stuttgart,2019,7,Stuttgart
Böblingen,2007,22,Böblingen
Böblingen,2011,26,Böblingen
Böblingen,2015,25,Böblingen
Böblingen,2019,27,Böblingen
Göppingen,2007,87,Göppingen
