llm_id,w,p_H,P_t,p_n,L,L_b,beh_ao_lmr_num
1,1975.3441,3381.7202,1,1,724185,689304,1
2,1971.5525,3525.064,1,1,415827,405739,2
3,1707.1901,2050.5762,1,1,132917,129407,3
4,1939.4725,2709.3596,1,1,446741,431290,4
5,2203.354,8105.6499,1,1,3355293,2871439,5
6,2007.0084,3349.7659,1,1,605744,583675,6
7,1995.2524,2735.571,1,1,389750,346259,7
8,1709.4065,1790.8247,1,1,565759,618843,8
9,1714.2869,1243.208,1,1,359602,459465.5184342625,9
10,1955.7388,4463.061,1,1,1718006,1610190,10
11,1709.9808,1578.567,1,1,219940,233897,11
12,1850.0875,2071.4583,1,1,177971,164201,12
13,1947.0114,1151.9843,1,1,136292,158018,13
14,1995.4172,2325.1377,1,1,200054,168333,14
15,1989.8956,1835.4017,1,1,93131,94652,15
16,1617.8263,1714.3718,1,1,407441,361989,16
17,2147.2114,3618.3086,1,1,503112,423104,17
18,1924.1432,2842.7131,1,1,520482,441628,18
19,1634.4387,1754.925,1,1,455150,364650,19
20,2048.2378,1877.897,1,1,231068,244233,20
21,1799.4197,2506.5959,1,1,302600,214565,21
22,1832.8654,3481.3242,1,1,1259240,1127503,22
23,1662.1692,1807.1257,1,1,312128,325080,23
24,2562.3037,6065.0234,1,1,2328284,2176398,24
25,1880.9305,2654.9353,1,1,2033874,2059200,25
26,2098.5022,2068.8345,1,1,618271,655696,26
27,1627.8397,2218.0427,1,1,310337,261907,27
28,2150.96,3911.1023,1,1,1042792,880840,28
29,2252.8359,5630.0415,1,1,2164620,1883610,29
30,1738.7493,2922.0964,1,1,1069277,978582,30
31,1949.4404,1787.9994,1,1,409817,368745,31
32,2051.5979,4994.145,1,1,1249245,1075803,32
33,1786.3311,2397.2783,1,1,369666,307162,33
34,2019.6904,2929.9402,1,1,1044482,909427,34
35,1675.8801,1147.6349,1,1,144010,140725,35
36,1761.6077,1928.8159,1,1,685804,617142,36
37,1943.0155,2197.2192,1,1,1398768,1461148,37
38,1874.8206,2463.2461,1,1,1161613,1129442,38
39,2156.7913,1824.7863,1,1,931169,954153,39
40,2107.6921,2133.1287,1,1,280800,278512,40
41,1857.8403,2859.4207,1,1,871089,758192,41
42,2027.0565,3800.3999,1,1,545126,469952,42
43,2281.312,7530.5825,1,1,2649983,2252639,43
44,2058.9485,2933.5991,1,1,760913,701797,44
45,2066.2678,2184.2515,1,1,356036,317671,45
46,2005.3413,2864.7654,1,1,714822,703082,46
47,1907.7833,2672.4126,1,1,448554,424508,47
48,1909.6559,1362.8439,1,1,157592,153480,48
49,2019.0251,3160.634,1,1,993931,886722,49
50,1794.5303,1448.2834,1,1,129171,120652,50
51,1896.536,2535.3408,1,1,237436,230042,51
52,1581.0222,1747.1097,1,1,97180,87863,52
53,1866.6375,1593.5913,1,1,60794,56092,53
54,1778.1616,3237.9963,1,1,374741,324951,54
55,1888.1777,2230.9751,1,1,349713,332745,55
56,2111.1404,3111.1343,1,1,283191,232563,56
57,2288.9922,3602.8289,1,1,987995,902850,57
58,2316.3457,5210.5083,1,1,822020,714358,58
59,2389.4197,6506.0107,1,1,2101395,1808448,59
60,2273.8599,5533.1499,1,1,652873,546969,60
61,2251.5952,3372.6226,1,1,252749,229397,61
62,1900.5349,3888.1052,1,1,710072,575673,62
63,1715.6874,2749.9485,1,1,191614,151102,63
64,1925.1349,2969.23,1,1,537752,478847,64
65,2133.2854,4570.7432,1,1,1025230,869012,65
66,2154.7485,4295.415,1,1,965054,842011,66
67,2435.9363,2952.2664,1,1,318313,268488,67
68,2170.23,5736.3999,1,1,645818,526483,68
69,2149.3979,3207.1594,1,1,420106,353537,69
70,2350.2998,2743.8755,1,1,483754,431439,70
71,2219.0537,6561.0137,1,1,280288,232615,71
72,2151.2002,3949.7749,1,1,226708,190827,72
73,2186.1912,2736.4619,1,1,167861,145584,73
74,2273.3733,4225.4097,1,1,503950,420880,74
75,2308.8667,2154.7366,1,1,188595,170226,75
76,2043.7196,4200.8027,1,1,608202,509499,76
77,2089.3352,3839.4441,1,1,765945,628497,77
78,1886.3408,2124.7493,1,1,130772,114136,78
79,1792.647,4536.6348,1,1,480025,349976,79
80,2379.6753,11250.502,1,1,3072122,2497205,80
81,1828.7085,3255.4834,1,1,339737,284996,81
82,1855.4575,5343.4609,1,1,595987,482101,82
83,1807.3601,7704.1763,1,1,220291,191263,83
84,1913.3774,3476.9873,1,1,193408,175957,84
85,1768.2487,1837.1914,1,1,78122,73126,85
86,2012.0448,3620.5085,1,1,238902,210920,86
87,2078.3281,4423.1743,1,1,463504,365931,87
